,Gridcell,LaunchZone,X,X after,X before,Y,Y after,Y before,bearing,diffLong,distance m,easting,initial bearing,lat,lat after,lat before,lon,lon after,lon before,northing,speed m/s,x,y
2014-02-16 17:01:00,38.0,2.0,8419846.407039735,8419848.98788059,8419843.869939739,534718.7969110508,534708.5147245947,534729.2163377954,283.8909717344232,-3.3511441555695417e-06,10.723867309797118,-2.5370999965816736,-76.10902826557681,-14.292986154500001,-14.292962948416667,-14.293008963333335,-170.6780916851667,-170.67818705241666,-170.677995046,10.419426744570957,0.17873112182995193,-3.2474130419408188e-06,8.031104575811909e-07
2014-02-16 17:01:00,18.0,0.0,8420221.05236102,8420220.713353783,8420223.07739307,534557.2101818321,534554.4667594801,534554.7443176218,186.57602336034364,-4.438663112341353e-08,3.1908057137016512,2.0250320490449667,-173.42397663965636,-14.289600769666665,-14.289603869083335,-14.289582490833334,-170.67959467541667,-170.67962010708334,-170.67961756391668,-2.4658642101567243,0.05318009522836085,-4.301333239741516e-08,-3.731208510771023e-07
2014-02-16 17:01:00,24.0,5.0,8420077.02010908,8420079.103253603,8420076.522272814,534706.9358266252,534700.6050846124,534717.3332017063,278.7457034571869,-2.7075467216570484e-06,10.40928669622468,-0.4978362657129765,-81.25429654281312,-14.290901184181818,-14.2908824285,-14.290905555083333,-170.67820462299997,-170.67826334641668,-170.67810821541667,10.397375081083736,0.17348811160374467,-2.6237617546766363e-06,4.03634147105869e-07
2014-02-16 17:02:00,18.0,0.0,8420220.713353783,8420220.716193056,8420221.05236102,534554.4667594801,534552.40954754,534557.2101818321,265.88951167199065,-7.767660558209161e-07,2.7642887165123935,0.3390072379261255,-94.11048832800935,-14.289603869083335,-14.289603869083335,-14.289600769666665,-170.67962010708334,-170.67963918083333,-170.67959467541667,2.7434223518939693,0.046071478608539884,-7.52733327770548e-07,-5.40950979011079e-08
2014-02-16 17:02:00,24.0,5.0,8420079.103253603,8420081.002711222,8420077.02010908,534700.6050846124,534693.6133026377,534706.9358266252,286.6629787753286,-2.156762988629171e-06,6.664666948731183,-2.083144523203373,-73.3370212246714,-14.2908824285,-14.290865341916664,-14.290901184181818,-170.67826334641668,-170.67832819641663,-170.67820462299997,6.3307420128257945,0.11107778247885304,-2.090022169543271e-06,6.255649819542075e-07
2014-02-16 17:02:00,38.0,2.0,8419848.98788059,8419850.268400602,8419846.407039735,534708.5147245947,534697.8192785712,534718.7969110508,280.4143106201444,-3.3955278783376837e-06,10.601136629267312,-2.580840853974223,-79.58568937985562,-14.292962948416667,-14.292951504499998,-14.292986154500001,-170.67818705241666,-170.67828623458334,-170.6780916851667,10.282186456141064,0.17668561048778855,-3.290423081071597e-06,6.047552066901218e-07
2014-02-16 17:02:00,30.0,0.0,8419980.08307915,8419981.232357813,8419977.403240165,534742.0226076929,534730.9155123724,534753.9504736746,279.4166392314873,-3.7284247086165633e-06,12.225200360900926,-2.6798389852046967,-80.58336076851266,-14.291777213333333,-14.291766961333332,-14.29180129375,-170.67787806208338,-170.67798105875005,-170.67776743574996,11.92786598170642,0.2037533393483488,-3.61303448864792e-06,5.992120483133689e-07
2014-02-16 17:03:00,30.0,0.0,8419981.232357813,8419985.649639249,8419980.08307915,534730.9155123724,534721.0472307535,534742.0226076929,284.8727682834658,-3.3955278788337363e-06,11.166396370521642,-1.149278663098812,-75.12723171653406,-14.291766961333332,-14.291727145666664,-14.291777213333333,-170.67798105875005,-170.67807261150003,-170.67787806208338,11.107095320476219,0.1861066061753607,-3.290440994239208e-06,8.738442531242008e-07
2014-02-16 17:03:00,24.0,5.0,8420081.002711222,8420083.990393598,8420079.103253603,534693.6133026377,534687.8573683718,534700.6050846124,291.01682533778296,-2.0639492872485025e-06,7.245202166491259,-1.8994576204568148,-68.98317466221701,-14.290865341916664,-14.2908384005,-14.2908824285,-170.67832819641663,-170.67838160199997,-170.67826334641668,6.9917819746769965,0.120753369441521,-2.0000808186092164e-06,7.684330535495666e-07
2014-02-16 17:03:00,38.0,2.0,8419850.268400602,8419852.026879705,8419848.98788059,534697.8192785712,534691.1016657322,534708.5147245947,279.88126728052697,-2.8185133012017663e-06,10.771828867186356,-1.2805200126022098,-80.11873271947303,-14.292951504499998,-14.292935689166667,-14.292962948416667,-170.67828623458334,-170.67834854133332,-170.67818705241666,10.695446023484694,0.1795304811197726,-2.731269541897799e-06,4.7576271383631413e-07
