,Gridcell,LaunchZone,TrackNumber,X,X after,X before,Y,Y after,Y before,bearing,diffLong,distance m,easting,initial bearing,lat,lat after,lat before,lon,lon after,lon before,northing,speed m/s,x,y
2014-02-19 12:21:00,1.0,4.0,64.0,8420212.083481424,8420212.33837576,8420211.881306047,534489.5848632967,534489.5852144359,534489.584584782,0.0,0.0,0.20217556691352934,-0.20217537507414815,0.0,-14.289682706166667,-14.2896804015,-14.289684534166666,-170.68022155800006,-170.68022155800006,-170.68022155800006,-0.00027851469349116087,0.003369592781892156,0.0,7.212864017169808e-08
2014-02-19 12:21:00,3.0,2.0,68.0,8419869.712837638,8419873.498221599,8419864.621557886,534728.2921825525,534717.7373485179,534736.102357252,295.85872091926564,-2.973869421713325e-06,9.323087383256038,-5.091279752552508,-64.14127908073436,-14.292775312916667,-14.292741219249999,-14.292821248416667,-170.67800394699998,-170.67810185758336,-170.6779314674167,7.810174699523486,0.15538478972093395,-2.8818192886117197e-06,1.3967713980711505e-06
2014-02-19 12:21:00,3.0,1.0,59.0,8420012.542272765,8420014.64090196,8420007.62582676,534749.062043947,534744.2649153663,534751.2495374567,315.2258266748228,-1.1318402027311943e-06,5.3811308461865215,-4.916446005925536,-44.77417332517726,-14.291483640833333,-14.291464726,-14.29152806608333,-170.67781321216663,-170.67785771675003,-170.67779286708333,2.187493509612977,0.08968551410310867,-1.0968125958949562e-06,1.1054928494014238e-06
2014-02-19 12:22:00,1.0,4.0,64.0,8420212.33837576,8420212.435094777,8420212.083481424,534489.5852144359,534489.5853476749,534489.5848632967,0.0,0.0,0.2548945785479124,-0.2548943366855383,0.0,-14.2896804015,-14.289679527000002,-14.289682706166667,-170.68022155800006,-170.68022155800006,-170.68022155800006,-0.0003511392278596759,0.00424824297579854,0.0,5.548692574852686e-08
2014-02-19 12:22:00,3.0,2.0,68.0,8419873.498221599,8419878.7648943,8419869.712837638,534717.7373485179,534710.2017473635,534728.2921825525,296.64750791929305,-2.9294755169734443e-06,11.213101855762362,-3.785383960232138,-63.352492080706966,-14.292741219249999,-14.292693694416668,-14.292775312916667,-170.67810185758336,-170.67817179358332,-170.67800394699998,10.554834034759553,0.1868850309293727,-2.838800107584982e-06,1.424510528980072e-06
2014-02-19 12:22:00,3.0,1.0,59.0,8420014.64090196,8420017.11552629,8420012.542272765,534744.2649153663,534740.8397021607,534749.062043947,299.15674769295583,-1.331581500436558e-06,5.236094643845967,-2.09862919524312,-60.84325230704419,-14.291464726,-14.291442394333332,-14.291483640833333,-170.67785771675003,-170.67788950616668,-170.67781321216663,4.797128580743448,0.08726824406409946,-1.2903725310545417e-06,7.198870178026784e-07
2014-02-19 12:22:00,3.0,5.0,61.0,8420098.450980188,8420099.335847232,8420098.683360577,534731.0781400844,534726.8278711471,534734.6442416138,274.7218789828525,-1.2650015510231496e-06,3.5736648923586234,0.2323803883045912,-85.2781210171475,-14.290707111333337,-14.290699164,-14.2907049655,-170.67798105875,-170.67802047725002,-170.67794799800004,3.5661015294026583,0.05956108153931039,-1.225857107789953e-06,1.01255085177554e-07
2014-02-19 12:22:00,1.0,3.0,65.0,8420241.46028704,8420241.038369423,8420242.471090252,534596.5992408342,534596.5986578133,534596.6006375977,180.0,0.0,1.0108041765284157,1.0108032114803789,180.0,-14.289415756750007,-14.28941957158333,-14.289406617416669,-170.679229736,-170.679229736,-170.679229736,0.0013967634877189994,0.016846736275473596,0.0,-2.2609286012831298e-07
2014-02-19 12:23:00,1.0,3.0,65.0,8420241.038369423,8420240.72193581,8420241.46028704,534596.5986578133,534596.5982205538,534596.5992408342,180.0,0.0,0.42191802014051694,0.4219176173210144,180.0,-14.28941957158333,-14.289422432666669,-14.289415756750007,-170.679229736,-170.679229736,-170.679229736,0.0005830209702253343,0.00703196700234195,0.0,-1.1651672640611287e-07
2014-02-19 12:23:00,3.0,2.0,68.0,8419878.7648943,8419884.435679367,8419873.498221599,534710.2017473635,534702.8038402345,534717.7373485179,306.31229174349227,-2.419035070060129e-06,9.193645962887814,-5.2666727006435385,-53.68770825650773,-14.292693694416668,-14.292642514,-14.292741219249999,-170.67817179358332,-170.6782404580834,-170.67810185758336,7.5356011542025945,0.1532274327147969,-2.344159744673147e-06,1.7227309014877792e-06
2014-02-19 12:23:00,1.0,4.0,64.0,8420212.435094777,8420212.417509502,8420212.33837576,534489.5853476749,534489.5853234496,534489.5852144359,0.0,0.0,0.09671910902648816,-0.096719017252326,0.0,-14.289679527000002,-14.289679686,-14.2896804015,-170.68022155800006,-170.68022155800006,-170.68022155800006,-0.00013323896564543247,0.0016119851504414694,0.0,1.2487830769458697e-08
2014-02-19 12:23:00,3.0,1.0,59.0,8420017.11552629,8420023.278407834,8420014.64090196,534740.8397021607,534739.8882373446,534744.2649153663,333.194625534324,-7.101817446186785e-07,4.225618425688428,-2.474624330177903,-26.805374465675982,-14.291442394333332,-14.29138668375,-14.291464726,-170.67788950616668,-170.67789840716668,-170.67785771675003,3.4252132056280966,0.07042697376147379,-6.882036450600104e-07,1.3620941579084445e-06
2014-02-19 12:23:00,3.0,5.0,61.0,8420099.335847232,8420101.687055713,8420098.450980188,534726.8278711471,534723.6767854324,534731.0781400844,293.66940680590886,-1.19842305950777e-06,4.341402506840296,-0.8848670441657305,-66.33059319409104,-14.290699164,-14.29067794475,-14.290707111333337,-170.67802047725002,-170.67804972333337,-170.67798105875,4.250268937437795,0.07235670844733827,-1.161338943052825e-06,5.090527389339794e-07
2014-02-19 12:24:00,1.0,3.0,65.0,8420240.72193581,8420240.071510969,8420241.038369423,534596.5982205538,534596.597321773,534596.5986578133,180.0,0.0,0.3164339143675748,0.3164336122572422,180.0,-14.289422432666669,-14.289428313583336,-14.28941957158333,-170.679229736,-170.679229736,-170.679229736,0.000437259441241622,0.005273898572792913,0.0,-1.5257668331547516e-07
2014-02-19 12:24:00,3.0,2.0,68.0,8419884.435679367,8419891.96224191,8419878.7648943,534702.8038402345,534694.5856175554,534710.2017473635,310.3002493588516,-2.53000455845617e-06,9.321310700357632,-5.670785067602992,-49.699750641148405,-14.292642514,-14.292574564583333,-14.292693694416668,-170.6782404580834,-170.67831675216664,-170.67817179358332,7.397907129023224,0.15535517833929388,-2.451695184177587e-06,2.079207063410138e-06
2014-02-19 12:24:00,3.0,1.0,59.0,8420023.278407834,8420027.39804357,8420017.11552629,534739.8882373446,534735.505341169,534740.8397021607,332.64889668754364,-8.6552477529928e-07,6.235895622937473,-6.162881543859839,-27.35110331245637,-14.29138668375,-14.291349490500007,-14.291442394333332,-170.67789840716668,-170.67793909708337,-170.67788950616668,0.951464816229418,0.10393159371562452,-8.387393906736727e-07,1.6214776897283125e-06
2014-02-19 12:24:00,3.0,5.0,61.0,8420101.687055713,8420106.890139705,8420099.335847232,534723.6767854324,534723.9582606987,534726.8278711471,339.24058244998605,-4.660596339886021e-07,3.9316055877193943,-2.3512084800750017,-20.759417550013925,-14.29067794475,-14.290630896833337,-14.290699164,-170.67804972333337,-170.67804718050004,-170.67802047725002,3.151085714576766,0.06552675979532324,-4.516379350784585e-07,1.1914868033036095e-06
2014-02-19 12:24:00,1.0,4.0,64.0,8420212.417509502,8420212.259251237,8420212.435094777,534489.5853234496,534489.585105435,534489.5853476749,180.0,0.0,0.017585292381026834,0.017585275694727898,180.0,-14.289679686,-14.289681116916668,-14.289679527000002,-170.68022155800006,-170.68022155800006,-170.68022155800006,2.422532998025417e-05,0.0002930882063504472,0.0,-2.7749280651079292e-08
2014-02-19 12:25:00,3.0,5.0,61.0,8420106.890139705,8420108.94115869,8420101.687055713,534723.9582606987,534721.766832266,534723.6767854324,345.2589308494072,-3.106991506961087e-07,5.2106920225057705,-5.2030839920043945,-14.741069150592857,-14.290630896833337,-14.29061237975,-14.29067794475,-170.67804718050004,-170.6780675250834,-170.67804972333337,-0.2814752663252875,0.08684486704176284,-3.010849345648433e-07,1.1443251125564655e-06
